KEY;FR;EN;ES;PT;IT;
tokens.pill.accel;Accélération;Acceleration;Aceleración;Aceleração;Accelerazione;
ui.button.payer;Payer;Pay;Pagar;Pagar;Pagare;
saison.prochain_match.countdown_l1;Prochain match dans;Next game in;Próximo partido en;Próximo jogo em;Prossima partita tra;
saison.calendrier.prochain_match_l1;Prochain match à {lieu};Next game at {place};Próximo partido en {lugar};Próximo jogo em {local};Prossima partita a {luogo};
saison.lieu.domicile;Domicile;Home;En casa;Em casa;In casa;
saison.lieu.exterieur;Extérieur;Away;Fuera;Fora;In trasferta;
saison.message.aucun_match;Aucun match simulé;No game simulated yet;Ningún partido simulado;Nenhum jogo simulado;Nessuna partita simulata;
missions.flash.succes;Mission réussie : {label}{suffix};Mission successful: {label}{suffix};Misión lograda: {label}{suffix};Missão bem-sucedida: {label}{suffix};Missione riuscita: {label}{suffix};
missions.flash.accomplie;Mission accomplie : {label}{suffix};Mission completed: {label}{suffix};Misión completada: {label}{suffix};Missão concluída: {label}{suffix};Missione completata: {label}{suffix};
missions.flash.deja_en_cours;Une mission est déjà en cours.;A mission is already in progress.;Ya hay una misión en curso.;Já existe uma missão em andamento.;Una missione è già in corso.;
missions.flash.inconnue;Mission inconnue: {mid};Unknown mission: {mid};Misión desconocida: {mid};Missão desconhecida: {mid};Missione sconosciuta: {mid};
missions.flash.tokens_insuffisants_cost;Tokens insuffisants (requis: {cost});Not enough tokens (required: {cost});Tokens insuficientes (requeridos: {cost});Tokens insuficientes (necessários: {cost});Token insufficienti (richiesti: {cost});
missions.flash.debloquee;Mission débloquée : {label} (-{cost} TOK);Mission unlocked: {label} (-{cost} TOK);Misión desbloqueada: {label} (-{cost} TOK);Missão desbloqueada: {label} (-{cost} TOK);Missione sbloccata: {label} (-{cost} TOK);
missions.flash.lancee_deblocage;Mission lancée (déblocage immédiat);Mission started (instant unlock);Misión iniciada (desbloqueo inmediato);Missão iniciada (desbloqueio imediato);Missione avviata (sblocco immediato);
tokens.flash.insuffisants;Tokens insuffisants;Not enough tokens;Tokens insuficientes;Tokens insuficientes;Token insufficienti;
stade.flash.capacite_limitee;Capacité d’accès limitée (stade 1-3) : recettes -20%.;Limited access capacity (stadium 1–3): income -20%.;Capacidad de acceso limitada (estadio 1–3): ingresos -20%.;Capacidade de acesso limitada (estádio 1–3): receitas -20%.;Capacità di accesso limitata (stadio 1–3): entrate -20%.;
stade.flash.travaux_lances;Travaux lancés;Construction started;Obras iniciadas;Obras iniciadas;Lavori iniziati;
coach.flash.contrat_termine;Contrat coach terminé;Coach contract ended;Contrato del entrenador finalizado;Contrato do treinador encerrado;Contratto dell'allenatore terminato;
saison.flash.match_disponible_avant;Match disponible : commence par jouer ton match !;Match available: start by playing your game!;Partido disponible: empieza jugando tu partido.;Partida disponível: comece jogando seu jogo!;Partita disponibile: inizia giocando la tua partita!;
tournoi.flash.deja_joue;Tournoi déjà joué;Tournament already played;Torneo ya jugado;Torneio já jogado;Torneo già giocato;
compo.flash.manque_joueurs_8;Il manque {manque} {suffix} à sélectionner (8 au total).;{manque} {suffix} still to select (8 in total).;Faltan {manque} {suffix} por seleccionar (8 en total).;Ainda faltam selecionar {manque} {suffix} (8 no total).;Mancano ancora {manque} {suffix} da selezionare (8 in totale).;
compo.flash.exactement_8;Tu dois sélectionner exactement 8 joueurs.;You must select exactly 8 players.;Debes seleccionar exactamente 8 jugadores.;Você deve selecionar exatamente 8 jogadores.;Devi selezionare esattamente 8 giocatori.;
mercato.flash.aucun_selectionne;Aucun joueur sélectionné (achat ou vente).;No player selected (buy or sell).;Ningún jugador seleccionado (compra o venta).;Nenhum jogador selecionado (compra ou venda).;Nessun giocatore selezionato (acquisto o vendita).;
mercato.flash.equipe_complete_12;Équipe complète à 12 joueurs. Passe niveau 1.2 pour updater jusqu'à 16 joueurs !;Squad full at 12 players. Reach level 1.2 to expand up to 16 players!;Plantilla completa con 12 jugadores. Alcanza el nivel 1.2 para subir hasta 16 jugadores.;Equipe completa com 12 jogadores. Alcance o nível 1.2 para aumentar até 16 jogadores.;Rosa completa con 12 giocatori. Raggiungi il livello 1.2 per salire fino a 16 giocatori.;
mercato.flash.equipe_deja_complete;Équipe déjà complète ({cap_equipe});Squad already full ({cap_equipe}).;Plantilla ya completa ({cap_equipe}).;Equipe já completa ({cap_equipe}).;Rosa già completa ({cap_equipe}).;
mercato.flash.garder_min_joueurs;Tu dois garder au moins {MIN_JOUEURS} joueurs dans l'équipe.;You must keep at least {MIN_JOUEURS} players in the squad.;Debes mantener al menos {MIN_JOUEURS} jugadores en la plantilla.;Você deve manter pelo menos {MIN_JOUEURS} jogadores no elenco.;Devi tenere almeno {MIN_JOUEURS} giocatori in squadra.;
mercato.flash.ventes_confirmees;Ventes confirmées : +{total_ventes} €;Sales confirmed: +{total_ventes} €;Ventas confirmadas: +{total_ventes} €;Vendas confirmadas: +{total_ventes} €;Vendite confermate: +{total_ventes} €;
popup.4wins.footer;Merci et continue avec ces bons résultats !;Thank you, and keep up these great results!;¡Gracias y sigue con estos buenos resultados!;Obrigado e continua com estes bons resultados!;Grazie e continua con questi ottimi risultati!;
blocage.exterieur;Match en extérieur : Billetterie, Boutique et Cafétéria inaccessibles;Away game: Ticketing, Shop and Cafeteria unavailable;Partido fuera de casa: taquilla, tienda y cafetería no disponibles;Jogo fora de casa: bilheteira, loja e cafetaria indisponíveis;Partita in trasferta: biglietteria, shop e caffetteria non disponibili;
blocage.stade.travaux_termines;Travaux terminés : stade amélioré !;Works completed: stadium upgraded!;Obras terminadas: estadio mejorado;Obras concluídas: estádio melhorado;Lavori terminati: stadio migliorato;
blocage.stade.ameliore;✅ Stade amélioré;✅ Stadium upgraded;✅ Estadio mejorado;✅ Estádio melhorado;✅ Stadio migliorato;
blocage.stade.travaux_deja;🛠️ Travaux déjà en cours.;🛠️ Works already in progress.;🛠️ Obras ya en curso.;🛠️ Obras já em andamento.;🛠️ Lavori già in corso.;
blocage.stade.fonds_insuffisants;❌ Fonds insuffisants pour améliorer le stade.;❌ Not enough funds to upgrade the stadium.;❌ Fondos insuficientes para mejorar el estadio.;❌ Fundos insuficientes para melhorar o estádio.;❌ Fondi insufficienti per migliorare lo stadio.;
blocage.stade.travaux_indisponible;Travaux en cours — évolution indisponible.;Works in progress — upgrade unavailable.;Obras en curso — mejora no disponible.;Obras em curso — evolução indisponível.;Lavori in corso — upgrade non disponibile.;
blocage.stade.travaux_lances;Travaux lancés : vers {NG}.{NS} • {DMATCH} matchs restants;Works started: towards {NG}.{NS} • {DMATCH} games remaining;Obras iniciadas: hacia {NG}.{NS} • quedan {DMATCH} partidos;Obras iniciadas: rumo a {NG}.{NS} • restam {DMATCH} jogos;Lavori avviati: verso {NG}.{NS} • restano {DMATCH} partite;
po.flash.playoffs_rang;🏆 Playoffs : vous êtes {RANG}e !;🏆 Playoffs: you are ranked {RANG}!;🏆 Playoffs: ¡estás en el puesto {RANG}!;🏆 Playoffs: você está na posição {RANG}!;🏆 Playoff: sei al posto {RANG}!;
parking.travaux.lance_1match;Parking lancé : 1 match (accéléré);Parking upgrade started: 1 game (fast track);Mejora del aparcamiento iniciada: 1 partido (rápido);Atualização do estacionamento iniciada: 1 jogo (rápido);Aggiornamento parcheggio avviato: 1 partita (rapida);
parking.travaux.lance_nmatchs;Parking lancé : {TOTAL} matchs;Parking upgrade started: {TOTAL} games;Mejora del aparcamiento iniciada: {TOTAL} partidos;Atualização do estacionamento iniciada: {TOTAL} jogos;Aggiornamento parcheggio avviato: {TOTAL} partite;
parking.travaux.titre;Parking en travaux;Parking under construction;Aparcamiento en obras;Estacionamento em obras;Parcheggio in lavori;
parking.travaux.lib_match;match;game;partido;jogo;partita;
parking.travaux.lib_matchs;matchs;games;partidos;jogos;partite;
parking.travaux.progression;Progression : {DEJA}/{TOTAL} {LIB} joués;Progress: {DEJA}/{TOTAL} {LIB} played;Progreso: {DEJA}/{TOTAL} {LIB} jugados;Progresso: {DEJA}/{TOTAL} {LIB} jogados;Avanzamento: {DEJA}/{TOTAL} {LIB} giocati;
realtime.match.nonouvert_rdv;Match non ouvert : rendez-vous le {DATE}.;Match not opened: come back on {DATE}.;Partido non abierto: vuelve el {DATE}.;Partida não aberta: volte em {DATE}.;Partita non aperta: torna il {DATE}.;
realtime.match.nonouvert_pas_dispo;Match non ouvert : match de saison pas encore disponible.;Match not opened: season game not available yet.;Partido no abierto: partido de temporada aún no disponible.;Partida não aberta: jogo da temporada ainda indisponível.;Partita non aperta: gara di stagione non ancora disponibile.;
realtime.match.fenetre_terminee;Fenêtre temps réel terminée pour ce match.;Real-time window finished for this match.;Ventana en tiempo real finalizada para este partido.;Janela em tempo real encerrada para esta partida.;Finestra in tempo reale terminata per questa partita.;
realtime.match.saison_terminee;Saison terminée : plus de match à jouer.;Season finished: no more games to play.;Temporada terminada: no hay más partidos por jugar.;Temporada encerrada: não há mais jogos a disputar.;Stagione terminata: nessuna altra partita da giocare.;
realtime.match.non_disponible;Match non disponible pour l'instant.;Match not available at the moment.;Partido no disponible por ahora.;Partida indisponível no momento.;Partita non disponibile al momento.;
saison.flash.resume;Saison {NUM};Season {NUM};Temporada {NUM};Temporada {NUM};Stagione {NUM};
blocage.stade.travaux_termines_detail;✅ Travaux terminés : niveau {NG}.{NS} opérationnel (capacité {CAP});✅ Works completed: level {NG}.{NS} operational (capacity {CAP});✅ Obras terminadas: nivel {NG}.{NS} operativo (capacidad {CAP});✅ Obras concluídas: nível {NG}.{NS} operacional (capacidade {CAP});✅ Lavori terminati: livello {NG}.{NS} operativo (capacità {CAP});
blocage.stade.travaux_termines_niveau;✅ Travaux terminés : niveau {NG}.{NS} opérationnel;✅ Works completed: level {NG}.{NS} operational;✅ Obras terminadas: nivel {NG}.{NS} operativo;✅ Obras concluídas: nível {NG}.{NS} operacional;✅ Lavori terminati: livello {NG}.{NS} operativo;
blocage.stade.ameliore_detail;✅ Stade amélioré : {NG}.{NS} (Capacité {CAP});✅ Stadium upgraded: {NG}.{NS} (Capacity {CAP});✅ Estadio mejorado: {NG}.{NS} (Capacidad {CAP});✅ Estádio melhorado: {NG}.{NS} (Capacidade {CAP});✅ Stadio migliorato: {NG}.{NS} (Capacità {CAP});
stade.flash.travaux_lances;Travaux lancés;Works started;Obras iniciadas;Obras iniciadas;Lavori avviati;
form.equipe.nom_requis;Veuillez indiquer un nom d'équipe.;Please enter a team name.;Por favor, indica un nombre de equipo.;Por favor, indique um nome de equipe.;Per favore, indica un nome della squadra.;
form.selection.joueurs_manquants;Veuillez sélectionner {NB} joueurs avant de démarrer la saison.;Please select {NB} players before starting the season.;Por favor, selecciona {NB} jugadores antes de empezar la temporada.;Por favor, selecione {NB} jogadores antes de começar a temporada.;Per favore, seleziona {NB} giocatori prima di iniziare la stagione.;
parking.flash.option_selectionnee;Option parking sélectionnée #{INDEX};Parking option selected #{INDEX};Opción de aparcamiento seleccionada #{INDEX};Opção de estacionamento selecionada #{INDEX};Opzione parcheggio selezionata #{INDEX};
parking.flash.carte_invalide;Carte de parking invalide;Invalid parking card;Tarjeta de aparcamiento no válida;Cartão de estacionamento inválido;Carta parcheggio non valida;
parking.flash.fonds_insuffisants;Fonds insuffisants pour le parking;Not enough funds for parking;Fondos insuficientes para el aparcamiento;Fundos insuficientes para o estacionamento;Fondi insufficienti per il parcheggio;
parking.travaux.capacite_apres;Capacité après travaux : {CAP} places;Capacity after upgrade: {CAP} seats;Capacidad tras las obras: {CAP} plazas;Capacidade após as obras: {CAP} lugares;Capacità dopo i lavori: {CAP} posti;
parking.flash.travaux_accel_1match;Travaux Parking accélérés (1 match restant);Parking works accelerated (1 game remaining);Obras de aparcamiento aceleradas (queda 1 partido);Obras de estacionamento aceleradas (falta 1 jogo);Lavori parcheggio accelerati (1 partita rimanente);
parking.flash.travaux_deja_1match;Travaux déjà à 1 match;Works already at 1 game;Obras ya en 1 partido;Obras já em 1 jogo;Lavori già a 1 partita;
parking.flash.accel_prete_prochain;Accélération prête : prochain Parking à 1 match;Acceleration ready: next Parking at 1 game;Aceleración lista: próximo aparcamiento a 1 partido;Aceleração pronta: próximo estacionamento em 1 jogo;Accelerazione pronta: prossimo parcheggio a 1 partita;
stade.flash.accel_indispo;Accélération indisponible pour ce palier;Acceleration unavailable for this tier;Aceleración no disponible para este nivel;Aceleração indisponível para este patamar;Accelerazione non disponibile per questo livello;
stade.flash.travaux_en_cours;Trvx en cours;Works in progress;Obras en curso;Obras em curso;Lavori in corso;
blocage.stade.travaux_deja;🛠️ Travaux déjà en cours.;🛠️ Works already in progress.;🛠️ Obras ya en curso.;🛠️ Obras já em andamento.;🛠️ Lavori già in corso.;
blocage.stade.fonds_insuffisants;❌ Fonds insuffisants pour améliorer le stade.;❌ Not enough funds to upgrade the stadium.;❌ Fondos insuficientes para mejorar el estadio.;❌ Fundos insuficientes para melhorar o estádio.;❌ Fondi insufficienti per migliorare lo stadio.;
blocage.stade.travaux_indisponible;Travaux en cours — évolution indisponible.;Works in progress — upgrade unavailable.;Obras en curso — mejora no disponible.;Obras em curso — evolução indisponível.;Lavori in corso — upgrade non disponibile.;
mercato.title;Mercato;Transfer Market;Mercado de fichajes;Mercado de transferências;Mercato trasferimenti;
mercato.header.name;Nom;Name;Nombre;Nome;Nome;
mercato.header.position;Poste;Position;Posición;Posição;Ruolo;
mercato.header.age;Âge;Age;Edad;Idade;Età;
mercato.header.weight;Pondération;Rating;Ponderación;Ponderação;Ponderazione;
mercato.header.salary;Salaire;Salary;Salario;Salário;Stipendio;
staff.tab.coachs;Coachs;Coaches;Entrenadores;Treinadores;Allenatori;
staff.tab.physio;Kiné;Physio;Fisioterapeuta;Fisioterapeuta;Fisioterapista;
staff.tab.intendance;Intendance;Logistics;Logística;Logística;Logistica;
staff.tab.scout;Recruteur;Scout;Ojeador;Olheiro;Osservatore;
mercato.player.missing_name;Prénom ?;First name?;Nombre?;Primeiro nome?;Nome?;
mercato.badge.bought;Acheté;Bought;Comprado;Comprado;Acquistato;
mercato.button.bought;Acheté;Bought;Comprado;Comprado;Acquistato;
mercato.button.limit;Limite;Limit;Límite;Limite;Limite;
mercato.button.buy;Acheter;Buy;Comprar;Comprar;Comprare;
mercato.button.sell;Vendre;Sell;Vender;Vender;Vendere;
mercato.button.cancel_selection;Annuler sélection;Cancel selection;Cancelar selección;Cancelar seleção;Annulla selezione;
mercato.message.max_players;3 joueurs max.;3 players max.;3 jugadores máx.;3 jogadores máx.;3 giocatori max.;
mercato.message.window_info; Le Mercato est ouvert pendant 3 matchs après son ouverture.;The transfer market is open for 3 matches after it unlocks.;El mercado de fichajes está abierto durante 3 partidos tras su apertura.;O mercado de transferências fica aberto por 3 jogos após ser desbloqueado.;Il mercato trasferimenti resta aperto per 3 partite dopo la sua apertura.;
staff.contract.active;Coach déjà en poste — {remain} saison(s) restantes;Coach already hired — {remain} season(s) remaining;Entrenador ya en el cargo — {remain} temporada(s) restante(s);Treinador já em funções — {remain} temporada(s) restante(s);Allenatore già in carica — {remain} stagione/i rimanente/i;
staff.locked.title;Service {service_label};Service {service_label};Servicio {service_label};Serviço {service_label};Servizio {service_label};
staff.locked.message;Niveau {min_level} requis pour débloquer Service {service_label};Level {min_level} required to unlock Service {service_label};Nivel {min_level} requerido para desbloquear el servicio {service_label};Nível {min_level} necessário para desbloquear o serviço {service_label};Livello {min_level} richiesto per sbloccare il servizio {service_label};
hud.tokens.line;Tokens : {value};Tokens: {value};Tokens: {value};Tokens: {value};Token: {value};
hud.level_xp.line;Lv : {level}   /   XP : {xp};Lv: {level}   /   XP: {xp};Nv: {level}   /   XP: {xp};Nv: {level}   /   XP: {xp};Lv: {level}   /   XP: {xp};
stadium.level.label;Niveau {NG}-{NS};Level {NG}-{NS};Nivel {NG}-{NS};Nível {NG}-{NS};Livello {NG}-{NS};
stadium.upgrade.title;Améliorer le stade — Niveau {NG}-{NS};Upgrade the stadium — Level {NG}-{NS};Mejorar el estadio — Nivel {NG}-{NS};Melhorar o estádio — Nível {NG}-{NS};Migliorare lo stadio — Livello {NG}-{NS};
stadium.upgrade.accel_title;Accélérer les travaux;Speed up the works;Acelerar las obras;Acelerar as obras;Accelerare i lavori;
coach.flash.level_required;Niveau {LVL} requis;Level {LVL} required;Nivel {LVL} requerido;Nível {LVL} necessário;Livello {LVL} richiesto;
stadium.billetterie.alert_capacity;(!) Capacité de places dépassée !;(!) Capacity exceeded!;(!) Capacidad de asientos superada.;(!) Capacidade de lugares excedida.;(!) Capienza posti superata.;
stadium.access.bottleneck;Affluence maximale (Niv 1-3) : recettes plafonnées -20%. Améliorez Accès/Parking.;Max attendance (Lv 1–3): revenue capped at -20%. Upgrade Access/Parking.;Afluencia máxima (Nv 1–3): ingresos limitados al -20 %. Mejora Accesos/Parking.;Afluência máxima (Nv 1–3): receitas limitadas a -20%. Melhore Acessos/Estacionamento.;Affluenza massima (Lv 1–3): ricavi limitati al -20%. Migliora Accessi/Parcheggio.;
stadium.travaux.progress.title;Niveau {NG_CUR}-{NS_CUR}  ->  en travaux vers {NG_T}-{NS_T}  ({REM} matchs);Level {NG_CUR}-{NS_CUR}  ->  upgrading to {NG_T}-{NS_T}  ({REM} games);Nivel {NG_CUR}-{NS_CUR}  ->  en obras hacia {NG_T}-{NS_T}  ({REM} partidos);Nível {NG_CUR}-{NS_CUR}  ->  em obras para {NG_T}-{NS_T}  ({REM} jogos);Livello {NG_CUR}-{NS_CUR}  ->  in lavori verso {NG_T}-{NS_T}  ({REM} partite);
stadium.travaux.progress.line;Travaux : {DONE}/{TOTAL} matchs (reste {REM});Works: {DONE}/{TOTAL} games (remaining {REM});Obras: {DONE}/{TOTAL} partidos (quedan {REM});Obras: {DONE}/{TOTAL} jogos (restam {REM});Lavori: {DONE}/{TOTAL} partite (restano {REM});
stadium.accel.button.label;Accélérer (8 tokens);Speed up (8 tokens);Acelerar (8 tokens);Acelerar (8 tokens);Accelerare (8 tokens);
hud.level_xp.compact;Lv {level} | XP {xp};Lv {level} | XP {xp};Nv {level} | XP {xp};Nv {level} | XP {xp};Lv {level} | XP {xp};
hud.xp_season;XP Saison : {value};Season XP: {value};XP de temporada: {value};XP da temporada: {value};XP stagione: {value};
missions.current;Mission en cours : {label};Current mission: {label};Misión en curso: {label};Missão em curso: {label};Missione in corso: {label};
missions.reward.summary;Récompense : {reward};Reward: {reward};Recompensa: {reward};Recompensa: {reward};Ricompensa: {reward};
reward.prefix;Récompense :;Reward:;Recompensa:;Recompensa:;Ricompensa:;
missions.skin_unlocked;Skin débloqué : {skin};Skin unlocked: {skin};Aspecto desbloqueado: {skin};Skin desbloqueada: {skin};Skin sbloccata: {skin};
missions.skin_inline;Skin : {skin};Skin: {skin};Aspecto: {skin};Skin: {skin};Skin: {skin};
xp.flash.gain;+{AMT} XP;+{AMT} XP;+{AMT} XP;+{AMT} XP;+{AMT} XP;
xp.flash.sep_reason; · ; · ; · ; · ; · ;
xp.flash.level_up;Niveau {LVL} atteint !;Level {LVL} reached!;¡Nivel {LVL} alcanzado!;Nível {LVL} alcançado!;Livello {LVL} raggiunto!;
club.levelup.flash;Nouveau niveau de club : Lv {LVL} !;New club level: Lv {LVL}!;Nuevo nivel de club: Lv {LVL}!;Novo nível do clube: Lv {LVL}!;Nuovo livello del club: Lv {LVL}!;
club.levelup.flash;Nouveau niveau de club : Lv {LVL} !;New club level: Lv {LVL}!;¡Nuevo nivel de club: Lv {LVL}!;Novo nível do clube: Lv {LVL}!;Nuovo livello del club: Lv {LVL}!;
modules.cafeteria.unlock.title;Tu viens de débloquer : Cafétéria;You just unlocked: Cafeteria;¡Acabas de desbloquear: Cafetería!;Acabaste de desbloquear: Cafetaria;Hai appena sbloccato: Caffetteria;
modules.cafeteria.unlock.body1;Les ventes de boissons et snacks sont maintenant actives.;Sales of drinks and snacks are now active.;Las ventas de bebidas y aperitivos ya están activas.;As vendas de bebidas e snacks já estão ativas.;Le vendite di bevande e snack sono ora attive.;
modules.cafeteria.unlock.body2;Ajuste les prix pour optimiser tes recettes les soirs de match.;Adjust your prices to optimize your income on game nights.;Ajusta los precios para optimizar tus ingresos en las noches de partido.;Ajusta os preços para otimizar as tuas receitas nas noites de jogo.;Regola i prezzi per ottimizzare gli incassi nelle sere di partita.;
modules.parkings.unlock.title;Tu viens de débloquer : Parkings;You just unlocked: Parking;¡Acabas de desbloquear: Aparcamientos!;Acabaste de desbloquear: Estacionamentos;Hai appena sbloccato: Parcheggi;
modules.parkings.unlock.body1;Tu peux désormais gérer la capacité des parkings du stade.;You can now manage the capacity of the stadium car parks.;Ahora puedes gestionar la capacidad de los aparcamientos del estadio.;Agora podes gerir a capacidade dos estacionamentos do estádio.;Ora puoi gestire la capacità dei parcheggi dello stadio.;
modules.parkings.unlock.body2;Investir dans le parking améliore l’expérience des supporters.;Investing in parking improves the fan experience.;Invertir en el parking mejora la experiencia de los aficionados.;Investir no estacionamento melhora a experiência dos adeptos.;Investire nel parcheggio migliora l’esperienza dei tifosi.;
modules.sponsor.unlock.title;Tu viens de débloquer : Sponsors;You just unlocked: Sponsors;¡Acabas de desbloquear: Patrocinadores!;Acabaste de desbloquear: Patrocinadores;Hai appena sbloccato: Sponsor;
modules.sponsor.unlock.body1;Tu peux maintenant signer un contrat de sponsoring.;You can now sign a sponsorship deal.;Ahora puedes firmar un contrato de patrocinio.;Agora podes assinar um contrato de patrocínio.;Ora puoi firmare un contratto di sponsorizzazione.;
modules.sponsor.unlock.body2;Va dans la zone « Sponsors » pour choisir ton partenaire.;"Go to the ""Sponsors"" area to choose your partner.";Ve a la zona «Patrocinadores» para elegir a tu socio.;Vai à área «Patrocinadores» para escolher o teu parceiro.;Vai nell’area «Sponsor» per scegliere il tuo partner.;
modules.staff.unlock.title;Tu viens de débloquer : Staff;You just unlocked: Staff;¡Acabas de desbloquear: Staff!;Acabaste de desbloquear: Staff;Hai appena sbloccato: Staff;
modules.staff.unlock.body1;Tu peux désormais recruter un coach, un kiné et un recruteur.;You can now hire a coach, a physio and a scout.;Ahora puedes contratar a un entrenador, a un fisio y a un ojeador.;Agora podes contratar um treinador, um fisioterapeuta e um olheiro.;Ora puoi ingaggiare un allenatore, un fisioterapista e un osservatore.;
modules.staff.unlock.body2;Passe par l’onglet « Staff » pour renforcer ton encadrement.;"Use the ""Staff"" tab to strengthen your backroom team.";Pasa por la pestaña «Staff» para reforzar tu cuerpo técnico.;Passa pelo separador «Staff» para reforçar a tua equipa técnica.;Passa dalla scheda «Staff» per rafforzare il tuo staff tecnico.;
match.alert.next.subject;Alerte : prépare le prochain match (J{J});Alert: get ready for the next game (J{J});Alerta: prepara el próximo partido (J{J});Alerta: prepara o próximo jogo (J{J});Allerta: prepara la prossima partita (J{J});
match.alert.next.line.date;Le prochain match de saison aura lieu le {DATE}.;The next league game will take place on {DATE}.;El próximo partido de temporada tendrá lugar el {DATE}.;O próximo jogo do campeonato terá lugar em {DATE}.;La prossima partita di campionato si giocherà il {DATE}.;
match.alert.next.line.prepare;Pense à préparer une composition adaptée :;Make sure to prepare an adapted lineup:;Piensa en preparar una alineación adaptada:;Pensa em preparar uma composição adaptada:;Pensa a preparare una formazione adatta:;
match.alert.next.line.fatigue;- gérer la fatigue des joueurs,;- manage player fatigue,;- gestionar el cansancio de los jugadores,;- gerir o cansaço dos jogadores,;- gestire la stanchezza dei giocatori,;
match.alert.next.line.motivation;- tenir compte de la motivation et des derniers matchs,;- take motivation and recent games into account,;- tener en cuenta la motivación y los últimos partidos,;- ter em conta a motivação e os últimos jogos,;- tenere conto della motivazione e delle ultime partite,;
match.alert.next.line.rotation;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;
match.alert.next.line.window;Les matchs de championnat se jouent dans une fenêtre en temps réel autour de cet horaire.;League games are played in a real-time window around this time.;Los partidos de liga se juegan en una ventana en tiempo real alrededor de este horario.;Os jogos do campeonato são disputados numa janela em tempo real à volta deste horário.;Le partite di campionato si giocano in una finestra in tempo reale attorno a quest'orario.;
match.alert.next.line.auto_sim;Si tu n'es pas connecté pendant cette fenêtre, le match sera simulé automatiquement en ton absence.;If you are not connected during this window, the game will be simulated automatically.;Si no estás conectado durante esta ventana, el partido se simulará automáticamente en tu ausencia.;Se não estiveres ligado durante essa janela, o jogo será simulado automaticamente na tua ausência.;Se non sei connesso durante questa finestra, la partita verrà simulata automaticamente in tua assenza.;
match.alert.next.line.avoid_tired;Évite d'aligner des joueurs trop fatigués et ajuste les temps de jeu.;Avoid fielding players who are too tired and adjust playing time.;Evita alinear jugadores demasiado cansados y ajusta los minutos de juego.;Evita colocar em campo jogadores demasiado cansados e ajusta os tempos de jogo.;Evita di schierare giocatori troppo stanchi e regola i minuti di gioco.;
match.alert.next.line.home.header;Ce match est à domicile : prépare aussi le Stade pour accueillir le public :;This is a home game: also prepare the Stadium to welcome the fans:;Este partido es en casa: prepara también el Estadio para recibir al público:;Este jogo é em casa: prepara também o Estádio para receber o público:;Questa partita è in casa: prepara anche lo Stadio per accogliere il pubblico:;
match.alert.next.line.home.billetterie;- pense à la Billetterie (prix, capacité, remplissage),;- check your Ticketing (prices, capacity, attendance),;- piensa en la Taquilla (precios, capacidad, llenado),;- pensa na Bilheteira (preços, capacidade, lotação),;- pensa alla Biglietteria (prezzi, capienza, riempimento),;
match.alert.next.line.home.boutique;- prépare la Boutique et les stocks,;- prepare the Shop and its stock,;- prepara la Tienda y los stocks,;- prepara a Loja e os stocks,;- prepara lo Store e le scorte,;
match.alert.next.line.home.stade_parking;- vérifie l'état du stade et du parking si des travaux sont en cours.;#NOM?;#NOM?;#NOM?;#NOM?;
club.xp.tournoi.vainqueur;+{XP} XP club (Titre Tournoi);+{XP} club XP (Tournament title);+{XP} XP de club (Título Torneo);+{XP} XP do clube (Título Torneio);+{XP} XP club (Titolo Torneo);
club.xp.tournoi.finaliste;+{XP} XP club (Finaliste Tournoi);+{XP} club XP (Tournament finalist);+{XP} XP de club (Finalista Torneo);+{XP} XP do clube (Finalista Torneio);+{XP} XP club (Finalista Torneo);
club.xp.po.champion;+{XP} XP club (Champion PO);+{XP} club XP (Playoffs champion);+{XP} XP de club (Campeón PO);+{XP} XP do clube (Campeão PO);+{XP} XP club (Campione PO);
club.xp.po.finaliste;+{XP} XP club (Finaliste PO);+{XP} club XP (Playoffs finalist);+{XP} XP de club (Finalista PO);+{XP} XP do clube (Finalista PO);+{XP} XP club (Finalista PO);
tournoi.accueil.bouton_A;Tournoi A;Tournament A;Torneo A;Torneio A;Torneo A;
tournoi.accueil.bouton_intermediaire;Intermédiaire;Intermediate;Intermedio;Intermédio;Intermedio;
tournoi.accueil.bouton_elite;Élite;Elite;Élite;Elite;Élite;
tournoi.map.no_level;Aucun niveau sélectionné;No level selected;Ningún nivel seleccionado;Nenhum nível selecionado;Nessun livello selezionato;
tournoi.map.status.finished;Tournoi finalisé;Tournament completed;Torneo finalizado;Torneio finalizado;Torneo completato;
tournoi.map.btn.launch_round;Lancer ce tour;Start this round;Lanzar esta ronda;Iniciar esta ronda;Avviare questo turno;
tournoi.map.coming_soon;Bientôt disponible... avec surprise exceptionnelle !;Coming soon... with an exceptional surprise!;Próximamente... ¡con una sorpresa excepcional!;Em breve... com uma surpresa excepcional!;Presto disponibile... con una sorpresa eccezionale!;
tournoi.bracket.quarter_final;1/4 de finale;Quarter-finals;Cuartos de final;Quartas de final;Quarti di finale;
tournoi.bracket.semi_final;1/2 finale;Semi-finals;Semifinales;Semifinais;Semifinali;
tournoi.bracket.final;Finale;Final;Final;Final;Finale;
tournoi.compare.title;Comparatif des tournois;Tournament comparison;Comparativa de torneos;Comparativo de torneios;Confronto dei tornei;
